Provincias;País de residencia;Meses;Total
08 Barcelona;Bélgica;Julio;619
08 Barcelona;Bélgica;Agosto;373
08 Barcelona;Bélgica;Septiembre;297
08 Barcelona;Bélgica;Octubre;..
08 Barcelona;Bélgica;Noviembre;..
08 Barcelona;Bélgica;Diciembre;382
08 Barcelona;Dinamarca;Enero;375
08 Barcelona;Dinamarca;Febrero;320
08 Barcelona;Dinamarca;Marzo;365
08 Barcelona;Dinamarca;Abril;0
08 Barcelona;Dinamarca;Mayo;..
08 Barcelona;Dinamarca;Junio;..
08 Barcelona;Dinamarca;Julio;219
08 Barcelona;Dinamarca;Agosto;..
08 Barcelona;Dinamarca;Septiembre;82
08 Barcelona;Dinamarca;Octubre;..
08 Barcelona;Dinamarca;Noviembre;..
08 Barcelona;Dinamarca;Diciembre;..
08 Barcelona;Finlandia;Enero;63
08 Barcelona;Finlandia;Febrero;183
08 Barcelona;Finlandia;Marzo;73
08 Barcelona;Finlandia;Abril;0
08 Barcelona;Finlandia;Mayo;..
08 Barcelona;Finlandia;Junio;..
08 Barcelona;Finlandia;Julio;78
08 Barcelona;Finlandia;Agosto;..
08 Barcelona;Finlandia;Septiembre;..
08 Barcelona;Finlandia;Octubre;58
08 Barcelona;Finlandia;Noviembre;..
08 Barcelona;Finlandia;Diciembre;..
08 Barcelona;Francia;Enero;6.700
08 Barcelona;Francia;Febrero;11.244
08 Barcelona;Francia;Marzo;4.272
08 Barcelona;Francia;Abril;0
08 Barcelona;Francia;Mayo;..
08 Barcelona;Francia;Junio;..
08 Barcelona;Francia;Julio;3.278
08 Barcelona;Francia;Agosto;10.181
08 Barcelona;Francia;Septiembre;4.903
08 Barcelona;Francia;Octubre;5.070
08 Barcelona;Francia;Noviembre;4.819
08 Barcelona;Francia;Diciembre;4.171
08 Barcelona;Grecia;Enero;229
08 Barcelona;Grecia;Febrero;195
08 Barcelona;Grecia;Marzo;171
08 Barcelona;Grecia;Abril;0
08 Barcelona;Grecia;Mayo;..
08 Barcelona;Grecia;Junio;..
08 Barcelona;Grecia;Julio;..
08 Barcelona;Grecia;Agosto;..
08 Barcelona;Grecia;Septiembre;..
08 Barcelona;Grecia;Octubre;14
08 Barcelona;Grecia;Noviembre;..
08 Barcelona;Grecia;Diciembre;..
08 Barcelona;Irlanda;Enero;607
08 Barcelona;Irlanda;Febrero;651
08 Barcelona;Irlanda;Marzo;..
08 Barcelona;Irlanda;Abril;0
08 Barcelona;Irlanda;Mayo;..
08 Barcelona;Irlanda;Junio;..
08 Barcelona;Irlanda;Julio;154
08 Barcelona;Irlanda;Agosto;..
08 Barcelona;Irlanda;Septiembre;..
08 Barcelona;Irlanda;Octubre;451
08 Barcelona;Irlanda;Noviembre;..
08 Barcelona;Irlanda;Diciembre;..
08 Barcelona;Italia;Enero;8.217
08 Barcelona;Italia;Febrero;8.328
08 Barcelona;Italia;Marzo;5.726
08 Barcelona;Italia;Abril;0
08 Barcelona;Italia;Mayo;..
08 Barcelona;Italia;Junio;..
08 Barcelona;Italia;Julio;1.933
08 Barcelona;Italia;Agosto;1.583
08 Barcelona;Italia;Septiembre;4.685
08 Barcelona;Italia;Octubre;4.687
08 Barcelona;Italia;Noviembre;4.488
08 Barcelona;Italia;Diciembre;4.297
08 Barcelona;Luxemburgo;Enero;301
08 Barcelona;Luxemburgo;Febrero;394
08 Barcelona;Luxemburgo;Marzo;..
08 Barcelona;Luxemburgo;Abril;0
08 Barcelona;Luxemburgo;Mayo;..
08 Barcelona;Luxemburgo;Junio;..
08 Barcelona;Luxemburgo;Julio;..
08 Barcelona;Luxemburgo;Agosto;..
08 Barcelona;Luxemburgo;Septiembre;..
08 Barcelona;Luxemburgo;Octubre;..
08 Barcelona;Luxemburgo;Noviembre;..
08 Barcelona;Luxemburgo;Diciembre;..
08 Barcelona;Países Bajos;Enero;1.182
08 Barcelona;Países Bajos;Febrero;1.849
08 Barcelona;Países Bajos;Marzo;845
08 Barcelona;Países Bajos;Abril;0
08 Barcelona;Países Bajos;Mayo;..
08 Barcelona;Países Bajos;Junio;..
08 Barcelona;Países Bajos;Julio;894
08 Barcelona;Países Bajos;Agosto;783
08 Barcelona;Países Bajos;Septiembre;614
08 Barcelona;Países Bajos;Octubre;763
08 Barcelona;Países Bajos;Noviembre;664
08 Barcelona;Países Bajos;Diciembre;658
08 Barcelona;Polonia;Enero;1.507
08 Barcelona;Polonia;Febrero;1.490
08 Barcelona;Polonia;Marzo;277
08 Barcelona;Polonia;Abril;0
08 Barcelona;Polonia;Mayo;..
08 Barcelona;Polonia;Junio;..
08 Barcelona;Polonia;Julio;424
08 Barcelona;Polonia;Agosto;431
08 Barcelona;Polonia;Septiembre;233
08 Barcelona;Polonia;Octubre;643
08 Barcelona;Polonia;Noviembre;..
08 Barcelona;Polonia;Diciembre;..
08 Barcelona;Portugal;Enero;1.974
08 Barcelona;Portugal;Febrero;1.766
08 Barcelona;Portugal;Marzo;1.436
08 Barcelona;Portugal;Abril;0
08 Barcelona;Portugal;Mayo;..
08 Barcelona;Portugal;Junio;..
08 Barcelona;Portugal;Julio;606
08 Barcelona;Portugal;Agosto;824
08 Barcelona;Portugal;Septiembre;1.213
08 Barcelona;Portugal;Octubre;1.203
08 Barcelona;Portugal;Noviembre;1.173
08 Barcelona;Portugal;Diciembre;1.249
08 Barcelona;Republica Checa;Enero;143
08 Barcelona;Republica Checa;Febrero;451
08 Barcelona;Republica Checa;Marzo;..
08 Barcelona;Republica Checa;Abril;0
08 Barcelona;Republica Checa;Mayo;..
08 Barcelona;Republica Checa;Junio;..
08 Barcelona;Republica Checa;Julio;88
08 Barcelona;Republica Checa;Agosto;86
08 Barcelona;Republica Checa;Septiembre;248
08 Barcelona;Republica Checa;Octubre;..
08 Barcelona;Republica Checa;Noviembre;152
08 Barcelona;Republica Checa;Diciembre;..
08 Barcelona;Suecia;Enero;492
08 Barcelona;Suecia;Febrero;644
08 Barcelona;Suecia;Marzo;..
08 Barcelona;Suecia;Abril;0
08 Barcelona;Suecia;Mayo;..
08 Barcelona;Suecia;Junio;..
08 Barcelona;Suecia;Julio;442
08 Barcelona;Suecia;Agosto;433
08 Barcelona;Suecia;Septiembre;181
08 Barcelona;Suecia;Octubre;357
08 Barcelona;Suecia;Noviembre;320
08 Barcelona;Suecia;Diciembre;..
08 Barcelona;Resto de la UE;Enero;1.420
08 Barcelona;Resto de la UE;Febrero;1.755
08 Barcelona;Resto de la UE;Marzo;549
08 Barcelona;Resto de la UE;Abril;0
08 Barcelona;Resto de la UE;Mayo;..
08 Barcelona;Resto de la UE;Junio;..
08 Barcelona;Resto de la UE;Julio;1.445
08 Barcelona;Resto de la UE;Agosto;1.086
08 Barcelona;Resto de la UE;Septiembre;892
08 Barcelona;Resto de la UE;Octubre;466
08 Barcelona;Resto de la UE;Noviembre;386
08 Barcelona;Resto de la UE;Diciembre;243
08 Barcelona;Noruega;Enero;186
08 Barcelona;Noruega;Febrero;290
08 Barcelona;Noruega;Marzo;..
08 Barcelona;Noruega;Abril;0
08 Barcelona;Noruega;Mayo;..
08 Barcelona;Noruega;Junio;..
08 Barcelona;Noruega;Julio;..
08 Barcelona;Noruega;Agosto;..
08 Barcelona;Noruega;Septiembre;..
08 Barcelona;Noruega;Octubre;..
08 Barcelona;Noruega;Noviembre;..
08 Barcelona;Noruega;Diciembre;..
08 Barcelona;Reino Unido;Enero;5.222
08 Barcelona;Reino Unido;Febrero;6.047
08 Barcelona;Reino Unido;Marzo;3.116
08 Barcelona;Reino Unido;Abril;0
08 Barcelona;Reino Unido;Mayo;..
08 Barcelona;Reino Unido;Junio;..
08 Barcelona;Reino Unido;Julio;2.037
08 Barcelona;Reino Unido;Agosto;1.462
08 Barcelona;Reino Unido;Septiembre;3.096
08 Barcelona;Reino Unido;Octubre;2.992
