Provincias;País de residencia;Meses;Total
08 Barcelona;Bélgica;Diciembre;77
08 Barcelona;Dinamarca;Enero;..
08 Barcelona;Dinamarca;Febrero;..
08 Barcelona;Dinamarca;Marzo;..
08 Barcelona;Dinamarca;Abril;22
08 Barcelona;Dinamarca;Mayo;..
08 Barcelona;Dinamarca;Junio;13
08 Barcelona;Dinamarca;Julio;312
08 Barcelona;Dinamarca;Agosto;27
08 Barcelona;Dinamarca;Septiembre;110
08 Barcelona;Dinamarca;Octubre;175
08 Barcelona;Dinamarca;Noviembre;88
08 Barcelona;Dinamarca;Diciembre;..
08 Barcelona;Finlandia;Enero;..
08 Barcelona;Finlandia;Febrero;..
08 Barcelona;Finlandia;Marzo;..
08 Barcelona;Finlandia;Abril;..
08 Barcelona;Finlandia;Mayo;..
08 Barcelona;Finlandia;Junio;31
08 Barcelona;Finlandia;Julio;59
08 Barcelona;Finlandia;Agosto;50
08 Barcelona;Finlandia;Septiembre;48
08 Barcelona;Finlandia;Octubre;53
08 Barcelona;Finlandia;Noviembre;72
08 Barcelona;Finlandia;Diciembre;21
08 Barcelona;Francia;Enero;283
08 Barcelona;Francia;Febrero;226
08 Barcelona;Francia;Marzo;293
08 Barcelona;Francia;Abril;363
08 Barcelona;Francia;Mayo;1.253
08 Barcelona;Francia;Junio;1.214
08 Barcelona;Francia;Julio;1.943
08 Barcelona;Francia;Agosto;3.598
08 Barcelona;Francia;Septiembre;1.379
08 Barcelona;Francia;Octubre;2.195
08 Barcelona;Francia;Noviembre;2.030
08 Barcelona;Francia;Diciembre;1.674
08 Barcelona;Grecia;Enero;..
08 Barcelona;Grecia;Febrero;..
08 Barcelona;Grecia;Marzo;..
08 Barcelona;Grecia;Abril;..
08 Barcelona;Grecia;Mayo;..
08 Barcelona;Grecia;Junio;32
08 Barcelona;Grecia;Julio;..
08 Barcelona;Grecia;Agosto;..
08 Barcelona;Grecia;Septiembre;31
08 Barcelona;Grecia;Octubre;70
08 Barcelona;Grecia;Noviembre;46
08 Barcelona;Grecia;Diciembre;79
08 Barcelona;Irlanda;Enero;..
08 Barcelona;Irlanda;Febrero;..
08 Barcelona;Irlanda;Marzo;..
08 Barcelona;Irlanda;Abril;14
08 Barcelona;Irlanda;Mayo;..
08 Barcelona;Irlanda;Junio;89
08 Barcelona;Irlanda;Julio;117
08 Barcelona;Irlanda;Agosto;98
08 Barcelona;Irlanda;Septiembre;133
08 Barcelona;Irlanda;Octubre;141
08 Barcelona;Irlanda;Noviembre;84
08 Barcelona;Irlanda;Diciembre;10
08 Barcelona;Italia;Enero;43
08 Barcelona;Italia;Febrero;56
08 Barcelona;Italia;Marzo;98
08 Barcelona;Italia;Abril;193
08 Barcelona;Italia;Mayo;366
08 Barcelona;Italia;Junio;384
08 Barcelona;Italia;Julio;585
08 Barcelona;Italia;Agosto;690
08 Barcelona;Italia;Septiembre;812
08 Barcelona;Italia;Octubre;568
08 Barcelona;Italia;Noviembre;660
08 Barcelona;Italia;Diciembre;786
08 Barcelona;Luxemburgo;Enero;..
08 Barcelona;Luxemburgo;Febrero;..
08 Barcelona;Luxemburgo;Marzo;..
08 Barcelona;Luxemburgo;Abril;..
08 Barcelona;Luxemburgo;Mayo;..
08 Barcelona;Luxemburgo;Junio;22
08 Barcelona;Luxemburgo;Julio;19
08 Barcelona;Luxemburgo;Agosto;56
08 Barcelona;Luxemburgo;Septiembre;16
08 Barcelona;Luxemburgo;Octubre;..
08 Barcelona;Luxemburgo;Noviembre;..
08 Barcelona;Luxemburgo;Diciembre;..
08 Barcelona;Países Bajos;Enero;22
08 Barcelona;Países Bajos;Febrero;28
08 Barcelona;Países Bajos;Marzo;52
08 Barcelona;Países Bajos;Abril;77
08 Barcelona;Países Bajos;Mayo;118
08 Barcelona;Países Bajos;Junio;114
08 Barcelona;Países Bajos;Julio;617
08 Barcelona;Países Bajos;Agosto;655
08 Barcelona;Países Bajos;Septiembre;382
08 Barcelona;Países Bajos;Octubre;620
08 Barcelona;Países Bajos;Noviembre;144
08 Barcelona;Países Bajos;Diciembre;172
08 Barcelona;Polonia;Enero;..
08 Barcelona;Polonia;Febrero;..
08 Barcelona;Polonia;Marzo;30
08 Barcelona;Polonia;Abril;32
08 Barcelona;Polonia;Mayo;67
08 Barcelona;Polonia;Junio;144
08 Barcelona;Polonia;Julio;198
08 Barcelona;Polonia;Agosto;251
08 Barcelona;Polonia;Septiembre;230
08 Barcelona;Polonia;Octubre;211
08 Barcelona;Polonia;Noviembre;273
08 Barcelona;Polonia;Diciembre;50
08 Barcelona;Portugal;Enero;75
08 Barcelona;Portugal;Febrero;12
08 Barcelona;Portugal;Marzo;24
08 Barcelona;Portugal;Abril;44
08 Barcelona;Portugal;Mayo;90
08 Barcelona;Portugal;Junio;84
08 Barcelona;Portugal;Julio;158
08 Barcelona;Portugal;Agosto;183
08 Barcelona;Portugal;Septiembre;318
08 Barcelona;Portugal;Octubre;105
08 Barcelona;Portugal;Noviembre;88
08 Barcelona;Portugal;Diciembre;101
08 Barcelona;Republica Checa;Enero;..
08 Barcelona;Republica Checa;Febrero;..
08 Barcelona;Republica Checa;Marzo;..
08 Barcelona;Republica Checa;Abril;..
08 Barcelona;Republica Checa;Mayo;44
08 Barcelona;Republica Checa;Junio;17
08 Barcelona;Republica Checa;Julio;109
08 Barcelona;Republica Checa;Agosto;44
08 Barcelona;Republica Checa;Septiembre;83
08 Barcelona;Republica Checa;Octubre;50
08 Barcelona;Republica Checa;Noviembre;32
08 Barcelona;Republica Checa;Diciembre;57
08 Barcelona;Suecia;Enero;..
08 Barcelona;Suecia;Febrero;..
08 Barcelona;Suecia;Marzo;20
08 Barcelona;Suecia;Abril;..
08 Barcelona;Suecia;Mayo;..
08 Barcelona;Suecia;Junio;41
08 Barcelona;Suecia;Julio;57
08 Barcelona;Suecia;Agosto;86
08 Barcelona;Suecia;Septiembre;70
08 Barcelona;Suecia;Octubre;121
08 Barcelona;Suecia;Noviembre;61
08 Barcelona;Suecia;Diciembre;28
08 Barcelona;Resto de la UE;Enero;..
08 Barcelona;Resto de la UE;Febrero;30
08 Barcelona;Resto de la UE;Marzo;67
08 Barcelona;Resto de la UE;Abril;132
08 Barcelona;Resto de la UE;Mayo;139
08 Barcelona;Resto de la UE;Junio;202
08 Barcelona;Resto de la UE;Julio;372
08 Barcelona;Resto de la UE;Agosto;184
08 Barcelona;Resto de la UE;Septiembre;237
08 Barcelona;Resto de la UE;Octubre;244
08 Barcelona;Resto de la UE;Noviembre;395
08 Barcelona;Resto de la UE;Diciembre;202
08 Barcelona;Noruega;Enero;..
08 Barcelona;Noruega;Febrero;..
08 Barcelona;Noruega;Marzo;..
08 Barcelona;Noruega;Abril;..
08 Barcelona;Noruega;Mayo;13
08 Barcelona;Noruega;Junio;..
08 Barcelona;Noruega;Julio;19
08 Barcelona;Noruega;Agosto;..
08 Barcelona;Noruega;Septiembre;110
08 Barcelona;Noruega;Octubre;48
08 Barcelona;Noruega;Noviembre;13
08 Barcelona;Noruega;Diciembre;13
08 Barcelona;Reino Unido;Enero;11
08 Barcelona;Reino Unido;Febrero;32
08 Barcelona;Reino Unido;Marzo;39
08 Barcelona;Reino Unido;Abril;65
08 Barcelona;Reino Unido;Mayo;137
08 Barcelona;Reino Unido;Junio;176
08 Barcelona;Reino Unido;Julio;285
08 Barcelona;Reino Unido;Agosto;480
08 Barcelona;Reino Unido;Septiembre;671
08 Barcelona;Reino Unido;Octubre;517
08 Barcelona;Reino Unido;Noviembre;516
08 Barcelona;Reino Unido;Diciembre;190
